,DD.g.r,DD.r.e,DD.e.a,DD.a.t,DD.t.space,DD.space.f,DD.f.r,DD.r.i,DD.i.e,DD.e.n,DD.n.d,DD.d.s,DD.s.space,DD.space.a,DD.a.r,DD.r.e.1,DD.e.space,DD.space.g,DD.g.o,DD.o.o,DD.o.d,DD.d.space,DD.space.t,DD.t.o,DD.o.space,DD.space.h,DD.h.a,DD.a.v,DD.v.e,DD.e.Return
mean,191.798,127.431,153.358,133.373,153.632,207.047,189.372,136.816,145.889,134.404,141.161,135.194,164.316,153.917,137.202,108.127,130.194,185.417,138.953,153.15,117.114,135.996,144.842,103.535,130.628,185.595,102.592,123.094,137.597,184.543
std,91.462,87.2,100.946,83.467,87.416,137.55,88.979,103.452,106.978,85.86,86.097,90.054,88.305,92.926,94.389,59.961,76.338,121.011,72.855,44.081,82.054,66.607,81.248,59.437,83.414,108.43,63.642,78.047,75.05,127.037
max,3091.6,2830.3,2262.2,2033.1,2124.6,3440.8,8444.4,2811.6,2106.9,2217.9,2048.3,2042.5,2468.1,2227.5,2155.7,2082.2,1976.4,2423.7,1626.0,1346.8,1593.9,1916.7,2617.7,1865.2,1745.9,2501.0,1804.8,1504.3,1852.8,3798.7
min,1.3,0.0,1.2,1.3,1.2,2.9,19.5,1.1,1.4,1.2,1.8,0.0,1.1,1.3,1.3,0.0,1.2,1.8,3.4,69.7,1.2,1.1,1.3,1.1,1.2,1.3,0.0,1.1,1.3,1.3
range,3090.3,2830.3,2261.0,2031.8,2123.4,3437.9,8424.9,2810.5,2105.5,2216.7,2046.5,2042.5,2467.0,2226.2,2154.4,2082.2,1975.2,2421.9,1622.6,1277.1,1592.7,1915.6,2616.4,1864.1,1744.7,2499.7,1804.8,1503.2,1851.5,3797.4
skewness,3.976,5.364,3.971,4.762,4.881,4.019,25.136,6.062,5.717,7.083,5.505,3.359,4.823,4.813,3.942,4.773,5.033,3.623,4.868,9.662,5.36,6.245,4.746,5.671,5.713,3.797,6.56,5.361,5.246,4.647
kurtosis,59.215,76.871,37.903,48.893,49.376,32.632,2037.017,74.798,48.699,86.376,49.986,28.18,50.68,44.723,40.169,71.156,60.918,23.058,50.271,152.058,47.369,85.108,59.148,74.184,67.234,32.926,92.72,54.048,61.048,52.147
25% quartile,144.675,75.7,86.7,87.3,105.7,133.2,157.7,90.0,102.7,97.7,101.8,76.5,119.0,107.1,76.7,72.4,88.5,119.8,99.4,135.3,78.4,104.3,101.0,73.3,84.3,126.8,70.4,82.9,93.9,115.0
50% quartile,198.0,101.0,131.5,115.0,136.8,168.6,182.7,115.6,123.4,120.4,123.4,108.1,146.8,134.3,114.5,93.95,117.6,150.9,123.4,148.5,101.9,126.6,131.8,95.0,116.8,168.3,95.5,110.0,126.3,153.0
75% quartile,229.4,171.0,202.2,155.9,177.7,225.5,207.8,151.4,150.225,147.8,152.0,184.4,183.825,171.4,180.6,137.2,153.9,203.9,155.3,163.525,129.9,152.8,168.5,121.4,158.2,211.0,123.0,144.9,167.7,213.1
mode,204.9,81.3,86.1,89.4,113.3,142.7,180.4,104.5,119.0,116.2,112.9,77.6,122.2,116.6,81.5,83.4,103.0,128.2,125.8,148.8,91.9,122.2,113.1,88.4,105.9,160.1,92.1,110.6,113.1,122.1
median,198.0,101.0,131.5,115.0,136.8,168.6,182.7,115.6,123.4,120.4,123.4,108.1,146.8,134.3,114.5,93.95,117.6,150.9,123.4,148.5,101.9,126.6,131.8,95.0,116.8,168.3,95.5,110.0,126.3,153.0
