,UD.g.r,UD.r.e,UD.e.a,UD.a.t,UD.t.space,UD.space.f,UD.f.r,UD.r.i,UD.i.e,UD.e.n,UD.n.d,UD.d.s,UD.s.space,UD.space.a,UD.a.r,UD.r.e.1,UD.e.space,UD.space.g,UD.g.o,UD.o.o,UD.o.d,UD.d.space,UD.space.t,UD.t.o,UD.o.space,UD.space.h,UD.h.a,UD.a.v,UD.v.e,UD.e.Return
mean,121.694,11.242,37.204,12.283,63.517,104.473,115.059,54.739,71.125,53.819,57.681,24.909,52.911,53.945,20.874,-6.403,31.306,87.79,55.485,99.181,44.16,49.475,52.077,19.303,39.33,89.106,21.253,15.809,68.746,94.129
std,80.485,104.451,123.245,93.575,93.278,138.681,86.01,100.983,107.487,85.441,88.155,109.614,91.824,95.689,109.185,80.251,77.905,121.489,74.772,40.08,82.606,70.281,81.43,63.549,93.025,112.95,67.937,85.443,66.803,130.804
max,3015.9,2742.5,2169.3,1906.5,2057.8,3380.1,8367.4,2675.0,2047.7,2162.5,1993.4,1968.6,2409.5,2113.8,2094.0,2018.9,1862.9,2365.4,1517.8,1292.2,1543.5,1843.9,2507.2,1715.4,1695.2,2407.4,1747.8,1447.0,1706.1,3712.4
min,1.2,-1133.0,-282.2,-204.0,-160.8,-238.2,1.2,-159.8,-128.0,-162.5,-95.3,-379.8,-382.7,-217.9,-310.6,-284.4,-225.7,-127.0,-100.6,3.7,-142.9,-211.3,-255.2,-287.3,-239.2,-222.2,-205.7,-222.9,1.2,-174.2
range,3014.7,3875.5,2451.5,2110.5,2218.6,3618.3,8366.2,2834.8,2175.7,2325.0,2088.7,2348.4,2792.2,2331.7,2404.6,2303.3,2088.6,2492.4,1618.4,1288.5,1686.4,2055.2,2762.4,2002.7,1934.4,2629.6,1953.5,1669.9,1704.9,3886.6
skewness,5.677,3.335,2.291,3.56,4.02,3.967,27.704,6.427,5.644,7.19,5.242,2.138,4.072,4.389,2.766,2.496,4.518,3.541,4.663,11.752,5.252,5.407,4.646,4.677,4.168,3.251,5.407,4.259,6.796,4.322
kurtosis,95.573,39.782,18.615,32.011,38.712,32.39,2329.381,81.307,47.986,89.712,47.016,13.848,41.154,39.378,23.827,23.846,54.071,22.912,46.629,203.732,46.338,71.284,58.429,56.674,43.052,27.606,73.615,40.013,87.57,46.836
25% quartile,86.7,-52.0,-43.0,-40.4,11.7,31.1,90.4,9.0,29.0,17.8,17.4,-50.1,4.8,5.5,-50.55,-54.9,-13.4,24.3,15.3,85.2,5.6,15.6,9.4,-14.0,-19.5,22.2,-15.3,-35.1,33.1,19.0
50% quartile,124.4,-24.0,7.5,-10.9,49.2,67.5,111.0,35.1,51.5,41.3,43.5,-21.1,38.8,37.2,-9.6,-32.2,21.5,57.0,40.3,95.5,29.9,43.6,41.1,13.0,22.0,84.1,18.8,8.2,58.4,65.1
75% quartile,148.2,97.1,124.8,45.3,97.7,125.0,129.4,67.5,77.3,68.475,73.3,112.4,77.1,75.9,85.9,42.8,57.6,108.1,73.0,106.6,58.4,70.7,76.7,41.7,84.3,123.9,48.875,47.0,89.3,129.4
mode,132.9,-1.4,-1.3,1.3,1.2,-1.1,108.6,-1.4,1.4,1.2,1.3,-44.6,1.1,-1.1,-1.2,-44.1,1.2,-1.1,-1.2,92.3,-1.3,-1.3,1.3,-1.4,1.2,1.3,-1.4,-1.3,1.3,-1.2
median,124.4,-24.0,7.5,-10.9,49.2,67.5,111.0,35.1,51.5,41.3,43.5,-21.1,38.8,37.2,-9.6,-32.2,21.5,57.0,40.3,95.5,29.9,43.6,41.1,13.0,22.0,84.1,18.8,8.2,58.4,65.1
